edades_train,pred_train
24.0,22.279703
44.0,40.105904
64.37,58.404926
18.15,32.693733
21.0,18.56441
75.0,81.58923
83.33,77.61953
80.0,75.19727
42.0,50.550674
77.0,77.44522
38.0,43.237648
32.57,45.130783
29.28,26.407831
71.04,73.004684
71.0,57.12299
68.0,68.544235
79.85,68.96729
33.0,26.43268
53.0,52.15727
19.0,21.97842
21.0,26.348469
21.4,23.761946
70.0,61.086575
73.0,79.11139
71.0,59.24583
26.0,37.28292
29.34,26.040888
50.6,54.675587
45.0,41.3558
23.0,21.484655
58.0,47.534233
26.36,41.798763
22.0,20.363945
38.0,30.838825
24.0,22.124058
18.0,19.32293
45.8,53.174343
65.0,56.36954
53.74,59.424717
26.0,21.71534
21.0,26.45457
28.0,18.414194
22.0,23.409113
62.0,52.897495
21.0,18.201984
20.0,24.474142
79.0,72.78768
35.0,54.124966
56.43805612594114,56.013077
73.36,72.518524
60.41067761806981,68.70967
62.0,50.92495
24.66,36.96858
23.0,25.784336
22.2,19.789555
83.0,81.09059
22.0,23.645267
34.0,42.983162
61.0,66.25116
20.0,19.062532
20.0,24.969807
41.22929500342232,42.799835
46.0,52.398136
69.27583846680356,66.69006
37.0,55.020355
80.0,80.169876
55.0,62.016106
19.0,21.371578
35.44695414099932,20.462914
26.0,23.519836
30.7,22.748219
60.0,56.035904
24.0,19.05291
67.0,55.71842
20.0,18.200583
61.0,53.52072
36.25,24.247118
51.0,47.826984
20.0,19.34106
61.48665297741273,63.27969
55.26,54.05284
58.0,55.50042
22.0,18.943068
27.0,42.978943
20.0,21.23846
40.0,47.553688
30.18206707734429,37.16563
47.3,40.00956
69.0,76.98172
30.0,38.80919
19.0,18.570402
71.0,73.296
62.0,64.51866
21.0,18.48795
76.0,79.27945
30.78,18.93716
52.0,39.650566
21.0,19.177692
20.0,18.472479
32.0,40.031326
39.0,39.80773
39.0,64.69322
21.0,22.05813
32.42436687200548,24.405579
49.68,45.051613
59.73,66.18983
20.0,19.635695
56.0,49.616356
26.05,34.347366
35.33,28.913277
47.0,58.339157
25.0,27.24656
20.0,18.977406
20.0,21.805035
38.0,46.527016
67.47,52.925423
22.0,19.949764
19.6,22.808228
37.0,38.520252
80.0,82.289856
18.0,22.473537
79.0,76.801254
62.0,42.104553
26.0,28.632116
26.0,27.074509
81.28,82.63445
63.0,59.465008
26.0,19.864183
68.0,62.76499
20.0,26.946991
47.61,48.992283
43.0,44.6336
25.52,23.371832
20.0,19.989462
64.0,71.02872
45.0,52.51063
21.82,32.74756
53.75,49.471893
38.7,25.019028
23.0,20.971802
20.0,19.232374
74.0,71.544174
36.0,35.01185
58.0,65.8019
27.02,27.61142
61.0,67.7585
26.0,28.404274
19.0,22.103426
32.0,34.6364
20.0,18.553299
18.4,18.564463
38.0,37.339325
51.0,55.578552
44.0,41.04916
25.0,29.470236
18.0,18.532974
55.0,55.521763
25.0,30.329317
74.0,84.61148
24.0,19.747309
27.0,40.586693
22.0,20.78757
21.0,18.12187
24.0,21.718481
20.0,22.446138
56.11,60.39631
66.0,63.90289
80.0,77.97528
46.0,52.447483
51.0,39.5806
23.0,18.358318
23.99,18.947548
21.0,19.348394
44.0,31.027119
59.0,60.95202
71.36,69.433365
19.0,18.183521
60.0,56.36199
33.516769336071185,37.22104
31.4,36.722015
66.37371663244353,45.890335
38.0,32.451332
42.0,49.26734
20.0,21.32299
46.0,49.596504
48.101300479123886,48.459515
31.0,27.013746
22.0,21.701216
60.0,50.17783
55.65503080082136,48.032402
83.0,76.589584
67.0,53.366367
50.0,51.88323
21.0,25.314558
20.0,19.098982
78.0,75.19063
57.36,62.59516
24.0,24.108376
34.20670773442848,48.06859
45.0,51.473133
24.142368240930868,21.17408
59.0,46.08994
22.7,18.479742
63.4,52.918888
42.0,37.206932
43.0,53.503506
19.85,24.337818
42.0,51.174774
63.0,52.944313
44.99,59.436943
24.0,21.640436
30.0,19.433914
40.55578370978782,35.76037
56.0,58.838333
72.0,69.784546
74.0,72.3389
22.0,20.648888
79.0,59.05358
23.0,18.968372
65.0,56.12999
45.6,50.726955
18.0,22.756983
35.36,38.477352
61.0,64.54707
40.0,31.239601
61.0,52.27693
74.96,82.43319
35.0,50.910965
22.0,32.714165
21.0,19.080442
64.0,61.68997
42.0,47.277252
21.0,18.469254
27.0,20.807667
64.0,60.998016
22.0,25.765545
23.0,22.070131
79.0,62.880947
43.0,50.27878
83.0,80.29605
45.0,45.032692
20.62,26.18711
23.1,18.996315
25.0,20.655773
47.0,42.92845
37.0,50.153717
71.0,77.32431
47.0,38.758667
21.0,20.051643
42.0,56.433212
30.0,27.70317
21.15263518138261,38.06045
19.0,21.804966
66.01505817932923,62.839077
49.0,61.475895
48.0,48.22853
32.82,27.408325
60.0,63.844856
82.0,83.54017
37.0,45.186447
27.0,21.41107
61.0,64.21692
38.0,27.246187
24.1,28.869703
20.2,20.041477
23.48802190280629,28.06189
47.0,45.648834
75.0,81.78186
22.44,19.287842
79.0,82.092995
55.0,58.77453
50.1,64.61095
58.0,62.43288
26.0,26.87064
20.0,18.620348
42.0,40.46804
80.65,76.00406
28.0,36.013878
52.63,39.7054
34.0,24.521225
40.0,32.25538
60.0,68.434395
29.0,24.295116
35.0,24.21877
21.0,25.243298
47.0,50.14394
27.0,36.86108
21.58,31.244621
20.0,19.696037
37.0,42.692097
58.0,43.85458
33.0,40.38832
51.0,49.18229
53.11,55.810043
46.0,45.184456
85.0,75.09973
41.0,21.297895
46.5,31.401497
51.0,48.60678
25.0,32.031162
60.0,53.5127
71.0,68.85548
33.13,39.114105
21.4,20.903934
38.3,39.15007
70.0,66.27585
18.0,19.9428
24.0,20.771017
72.0,69.40461
82.93,77.555695
21.1,18.780157
43.19,51.679615
26.0,26.149204
42.15195071868583,45.761528
30.0,23.747524
71.0,59.7139
26.0,35.552322
46.0,53.723503
32.70362765229295,42.69523
65.0,62.381577
60.0,53.171326
24.0,19.210554
34.0,49.455544
40.0,32.55101
23.0,23.251316
20.0,19.051985
24.0,19.70509
64.0,52.753864
22.0,19.630867
53.0,58.80664
79.0,79.38005
38.0,22.813744
68.0,59.291878
19.980835044490075,28.418888
22.0,21.568098
21.0,20.383717
20.0,21.76555
30.66,43.70324
42.0,40.97589
22.0,22.967525
66.0,61.475346
34.0,33.960583
73.0,49.443153
34.4,49.54345
51.0,48.993084
67.0,64.5122
30.0,31.276953
29.0,20.60977
27.0,29.94121
29.0,18.85184
57.0,55.972042
21.0,19.688536
26.0,19.333017
23.0,23.273397
24.28473648186174,35.54888
19.0,18.50513
23.0,21.936409
81.0,85.35717
21.0,23.593431
54.0,54.574112
20.33,30.294064
21.0,18.357906
30.0,24.853916
26.62,21.19497
60.0,55.319027
21.0,22.091244
34.0,45.92655
47.0,52.641045
48.0,52.13043
19.0,22.92874
21.0,21.590088
32.0,53.061695
38.56,47.620888
71.09,70.032776
56.0,51.3816
51.24,44.626595
80.0,79.797455
18.0,19.372894
21.0,26.58516
55.0,54.79136
43.0,53.556282
67.0,66.382095
73.0,68.70594
22.0,30.69128
54.66392881587954,46.53664
63.31,54.035362
69.0,73.49057
56.7,60.402874
53.0,49.2537
40.0,50.34735
23.0,22.948214
72.0,78.761475
26.06,36.89757
